RATE,SUCTION_PRESSURE,DISCHARGE_PRESSURE,FUEL,POWER
# MSm3/d,bg,bg,Sm3/d,MW
0,12,210,0,0
100000,12,210,101140,0
1000000,12,210,101140,0
1100000,12,210,101157,0
1200000,12,210,101152,0
1300000,12,210,101148,0
1400000,12,210,101141,0
1500000,12,210,101132,0
1600000,12,210,101127,0
1700000,12,210,101122,0
1800000,12,210,101117,0
1900000,12,210,101112,0
2000000,12,210,101108,0
2100000,12,210,101104,0
2200000,12,210,102187,0
2300000,12,210,103940,0
2400000,12,210,106023,0
2500000,12,210,108983,0
2600000,12,210,111896,0
2700000,12,210,114561,0
2800000,12,210,117085,0
2900000,12,210,119829,0
3000000,12,210,122451,0
3100000,12,210,125296,0
3200000,12,210,127961,0
3300000,12,210,130266,0
3400000,12,210,132493,0
3425000,12,210,133297,0
3450000,12,210,134208,0
3475000,12,210,135052,0
3500000,12,210,135853,0
3525000,12,210,136580,0
3550000,12,210,137261,0
3575000,12,210,138045,0
3600000,12,210,138871,0
3625000,12,210,139687,0
3650000,12,210,140566,0
3675000,12,210,141459,0
3700000,12,210,142255,0
3725000,12,210,143094,0
3750000,12,210,143973,0
3775000,12,210,144983,0
3800000,12,210,146180,0
3825000,12,210,147295,0
3850000,12,210,148418,0
3875000,12,210,149373,0
3900000,12,210,150347,0
3925000,12,210,151552,0
3950000,12,210,152923,0
3975000,12,210,154305,0
3975000,12,210,204273,0
4000000,12,210,204364,0
4025000,12,210,204819,0
4050000,12,210,204911,0
4075000,12,210,205372,0
4100000,12,210,205607,0
4200000,12,210,206875,0
4300000,12,210,207735,0
4400000,12,210,209118,0
4500000,12,210,211133,0
4600000,12,210,214157,0
4700000,12,210,217150,0
4800000,12,210,220102,0
4900000,12,210,222951,0
5000000,12,210,225422,0
5100000,12,210,228186,0
5200000,12,210,230805,0
5300000,12,210,233270,0
5400000,12,210,235738,0
5500000,12,210,238413,0
5600000,12,210,241103,0
5700000,12,210,243768,0
5800000,12,210,246375,0
5900000,12,210,248968,0
6000000,12,210,251554,0
6100000,12,210,254019,0
6200000,12,210,256689,0
6300000,12,210,259139,0
6400000,12,210,261770,0
6500000,12,210,263857,0
6600000,12,210,266281,0
6700000,12,210,268498,0
6800000,12,210,271337,0
6900000,12,210,274836,0
7000000,12,210,278572,0
7100000,12,210,281916,0
7200000,12,210,285230,0
7300000,12,210,288237,0
7400000,12,210,292593,0
7500000,12,210,297738,0
7525000,12,210,298915,0
7550000,12,210,300142,0
7575000,12,210,301290,0
7600000,12,210,302549,0
7625000,12,210,303773,0
7650000,12,210,304846,0
7675000,12,210,306140,0
7700000,12,210,307582,0
0,13,210,0,0
100000,13,210,101155,0
1000000,13,210,101155,0
1100000,13,210,101149,0
1200000,13,210,101144,0
1300000,13,210,101140,0
1400000,13,210,101135,0
1500000,13,210,101120,0
1600000,13,210,101116,0
1700000,13,210,101111,0
1800000,13,210,101106,0
1900000,13,210,101102,0
2000000,13,210,101096,0
2100000,13,210,101090,0
2200000,13,210,101540,0
2300000,13,210,102638,0
2400000,13,210,103850,0
2500000,13,210,106601,0
2600000,13,210,109494,0
2700000,13,210,112354,0
2800000,13,210,115273,0
2900000,13,210,117425,0
3000000,13,210,119829,0
3100000,13,210,122135,0
3200000,13,210,124661,0
3300000,13,210,127148,0
3400000,13,210,129976,0
3500000,13,210,132507,0
3600000,13,210,134727,0
3700000,13,210,137034,0
3725000,13,210,137761,0
3750000,13,210,138644,0
3775000,13,210,139687,0
3800000,13,210,140715,0
3825000,13,210,141682,0
3850000,13,210,142583,0
3875000,13,210,143505,0
3900000,13,210,144480,0
3925000,13,210,145393,0
3950000,13,210,146262,0
3975000,13,210,147295,0
4000000,13,210,148483,0
4025000,13,210,149768,0
4050000,13,210,151132,0
4075000,13,210,152588,0
4100000,13,210,154094,0
4100000,13,210,204334,0
4200000,13,210,205200,0
4300000,13,210,206404,0
4400000,13,210,207552,0
4500000,13,210,209322,0
4600000,13,210,211209,0
4700000,13,210,213342,0
4800000,13,210,215369,0
4900000,13,210,218083,0
5000000,13,210,221013,0
5100000,13,210,223915,0
5200000,13,210,226610,0
5300000,13,210,229279,0
5400000,13,210,231570,0
5500000,13,210,234010,0
5600000,13,210,236433,0
5700000,13,210,239010,0
5800000,13,210,241213,0
5900000,13,210,243306,0
6000000,13,210,245587,0
6100000,13,210,248178,0
6200000,13,210,250745,0
6300000,13,210,253210,0
6400000,13,210,255690,0
6500000,13,210,258149,0
6600000,13,210,260330,0
6700000,13,210,263274,0
6800000,13,210,266001,0
6900000,13,210,268351,0
7000000,13,210,270577,0
7100000,13,210,273053,0
7200000,13,210,275345,0
7300000,13,210,277616,0
7400000,13,210,281013,0
7500000,13,210,285342,0
7600000,13,210,289801,0
7700000,13,210,293876,0
7800000,13,210,298057,0
7900000,13,210,302750,0
8000000,13,210,308681,0
0,14,210,0,0
100000,14,210,101119,0
1000000,14,210,101119,0
1100000,14,210,101144,0
1200000,14,210,101141,0
1300000,14,210,101136,0
1400000,14,210,101133,0
1500000,14,210,101120,0
1600000,14,210,101115,0
1700000,14,210,101111,0
1800000,14,210,101106,0
1900000,14,210,101102,0
2000000,14,210,101098,0
2100000,14,210,101090,0
2200000,14,210,101089,0
2300000,14,210,101924,0
2400000,14,210,103086,0
2500000,14,210,104772,0
2600000,14,210,107132,0
2700000,14,210,109933,0
2800000,14,210,112720,0
2900000,14,210,115357,0
3000000,14,210,118155,0
3100000,14,210,120382,0
3200000,14,210,122333,0
3300000,14,210,124459,0
3400000,14,210,126763,0
3500000,14,210,129031,0
3600000,14,210,131610,0
3700000,14,210,134602,0
3800000,14,210,137054,0
3900000,14,210,139445,0
4000000,14,210,142178,0
4025000,14,210,143145,0
4050000,14,210,144100,0
4075000,14,210,145287,0
4100000,14,210,146489,0
4125000,14,210,147720,0
4150000,14,210,149061,0
4175000,14,210,150304,0
4200000,14,210,151552,0
4225000,14,210,152837,0
4250000,14,210,154167,0
4300000,14,210,204898,0
4400000,14,210,205940,0
4500000,14,210,207884,0
4600000,14,210,209691,0
4700000,14,210,211481,0
4800000,14,210,213382,0
4900000,14,210,215412,0
5000000,14,210,217399,0
5100000,14,210,219376,0
5200000,14,210,221836,0
5300000,14,210,224565,0
5400000,14,210,227371,0
5500000,14,210,230066,0
5600000,14,210,232629,0
5700000,14,210,235104,0
5800000,14,210,237393,0
5900000,14,210,239854,0
6000000,14,210,242339,0
6100000,14,210,243974,0
6200000,14,210,245929,0
6300000,14,210,248130,0
6400000,14,210,250360,0
6500000,14,210,252511,0
6600000,14,210,254762,0
6700000,14,210,256962,0
6800000,14,210,259383,0
6900000,14,210,261856,0
7000000,14,210,264544,0
7100000,14,210,266947,0
7200000,14,210,269600,0
7300000,14,210,272517,0
7400000,14,210,275247,0
7500000,14,210,277636,0
7600000,14,210,280110,0
7700000,14,210,283069,0
7800000,14,210,286075,0
7900000,14,210,288886,0
8000000,14,210,292437,0
8100000,14,210,298240,0
8200000,14,210,304237,0
8300000,14,210,310073,0
0,15,210,0,0
100000,15,210,100968,0
1000000,15,210,100968,0
1200000,15,210,101121,0
1400000,15,210,101116,0
1600000,15,210,101109,0
1800000,15,210,101096,0
2000000,15,210,101085,0
2200000,15,210,101078,0
