RATE,SUCTION_PRESSURE,DISCHARGE_PRESSURE,FUEL,POWER
2400000,15,210,102182,0
2600000,15,210,105820,0
2800000,15,210,110329,0
3000000,15,210,115689,0
3200000,15,210,120903,0
3400000,15,210,124915,0
3600000,15,210,128922,0
3625000,15,210,129351,0
3650000,15,210,129782,0
3675000,15,210,130285,0
3700000,15,210,130816,0
3725000,15,210,131384,0
3750000,15,210,132054,0
3775000,15,210,132729,0
3800000,15,210,133408,0
3825000,15,210,134064,0
3850000,15,210,134699,0
3875000,15,210,135501,0
3900000,15,210,136297,0
3925000,15,210,137093,0
3950000,15,210,137879,0
3975000,15,210,138653,0
4000000,15,210,139349,0
4025000,15,210,140047,0
4050000,15,210,140704,0
4075000,15,210,141333,0
4100000,15,210,141991,0
4125000,15,210,142713,0
4150000,15,210,143515,0
4175000,15,210,144333,0
4200000,15,210,145165,0
4225000,15,210,145993,0
4250000,15,210,146787,0
4275000,15,210,147603,0
4300000,15,210,148439,0
4325000,15,210,149613,0
4350000,15,210,151033,0
4375000,15,210,152567,0
4400000,15,210,154276,0
4400000,15,210,204712,0
4500000,15,210,206422,0
4600000,15,210,208234,0
4700000,15,210,210017,0
4800000,15,210,211880,0
4900000,15,210,213847,0
5000000,15,210,215415,0
5100000,15,210,217364,0
5200000,15,210,219237,0
5300000,15,210,221271,0
5400000,15,210,223196,0
5500000,15,210,225351,0
5600000,15,210,227910,0
5700000,15,210,230533,0
5800000,15,210,233253,0
5900000,15,210,235860,0
6000000,15,210,238306,0
6100000,15,210,240867,0
6200000,15,210,243176,0
6300000,15,210,245386,0
6400000,15,210,247261,0
6500000,15,210,249429,0
6600000,15,210,251275,0
6700000,15,210,253190,0
6800000,15,210,255230,0
6900000,15,210,257179,0
7000000,15,210,259016,0
7100000,15,210,260759,0
7200000,15,210,262994,0
7300000,15,210,265706,0
7400000,15,210,268413,0
7500000,15,210,270860,0
7600000,15,210,273511,0
7700000,15,210,276189,0
7800000,15,210,279405,0
7900000,15,210,282608,0
8000000,15,210,285356,0
8100000,15,210,288492,0
8200000,15,210,292038,0
8300000,15,210,295469,0
8400000,15,210,299038,0
0,16,210,0,0
100000,16,210,101067,0
1000000,16,210,101067,0
1200000,16,210,101094,0
1400000,16,210,101086,0
1600000,16,210,101080,0
1800000,16,210,101067,0
2000000,16,210,101060,0
2200000,16,210,101049,0
2400000,16,210,101550,0
2600000,16,210,105153,0
2800000,16,210,108659,0
3000000,16,210,113376,0
3200000,16,210,118513,0
3400000,16,210,123606,0
3600000,16,210,127531,0
3800000,16,210,131250,0
3850000,16,210,132029,0
3900000,16,210,132893,0
3950000,16,210,133944,0
4000000,16,210,135269,0
4050000,16,210,136588,0
4100000,16,210,137977,0
4150000,16,210,139677,0
4200000,16,210,141460,0
4250000,16,210,143225,0
4300000,16,210,144841,0
4350000,16,210,146531,0
4400000,16,210,148409,0
4450000,16,210,150301,0
4500000,16,210,152344,0
4550000,16,210,154520,0
4600000,16,210,206596,0
4700000,16,210,208630,0
4800000,16,210,210294,0
4900000,16,210,212254,0
5000000,16,210,214015,0
5100000,16,210,215784,0
5200000,16,210,217506,0
5300000,16,210,219148,0
5400000,16,210,221038,0
5500000,16,210,222887,0
5600000,16,210,224810,0
5700000,16,210,226746,0
5800000,16,210,228476,0
5900000,16,210,231070,0
6000000,16,210,233605,0
6100000,16,210,236335,0
6200000,16,210,238915,0
6300000,16,210,241497,0
6400000,16,210,243951,0
6500000,16,210,246354,0
6600000,16,210,248542,0
6700000,16,210,250447,0
6800000,16,210,252212,0
6900000,16,210,254419,0
7000000,16,210,256469,0
7100000,16,210,258261,0
7200000,16,210,259988,0
7300000,16,210,261868,0
7400000,16,210,263556,0
7500000,16,210,265234,0
7600000,16,210,267243,0
7700000,16,210,269355,0
7800000,16,210,272015,0
7900000,16,210,274774,0
8000000,16,210,277710,0
8100000,16,210,280547,0
8200000,16,210,283416,0
8300000,16,210,286946,0
8400000,16,210,290798,0
0,12,220,0,0
100000,12,220,104371,0
1000000,12,220,104371,0
1100000,12,220,104389,0
1200000,12,220,104377,0
1300000,12,220,104373,0
1400000,12,220,104369,0
1500000,12,220,104364,0
1600000,12,220,104359,0
1700000,12,220,104354,0
1800000,12,220,104350,0
1900000,12,220,104343,0
2000000,12,220,104875,0
2100000,12,220,105903,0
2200000,12,220,106950,0
2300000,12,220,108466,0
2400000,12,220,111363,0
2500000,12,220,114082,0
2600000,12,220,116654,0
2700000,12,220,119174,0
2800000,12,220,121779,0
2900000,12,220,124348,0
3000000,12,220,126836,0
3100000,12,220,129438,0
3200000,12,220,131743,0
3300000,12,220,134018,0
3400000,12,220,136786,0
3425000,12,220,137692,0
3450000,12,220,138562,0
3475000,12,220,139416,0
3500000,12,220,140204,0
3525000,12,220,141050,0
3550000,12,220,141991,0
3575000,12,220,142919,0
3600000,12,220,143794,0
3625000,12,220,144628,0
3650000,12,220,145525,0
3675000,12,220,146488,0
3700000,12,220,147494,0
3720000,12,220,148396,0
3745000,12,220,149760,0
3770000,12,220,151112,0
3795000,12,220,152540,0
3820000,12,220,153941,0
3845000,12,220,155131,0
3870000,12,220,156338,0
3895000,12,220,157880,0
3920000,12,220,159668,0
3945000,12,220,161476,0
3970000,12,220,163432,0
3975000,12,220,209505,0
4000000,12,220,209581,0
4025000,12,220,210010,0
4050000,12,220,210099,0
4075000,12,220,210537,0
4100000,12,220,210627,0
4000000,12,220,209747,0
4100000,12,220,210796,0
4200000,12,220,211695,0
4300000,12,220,212718,0
4400000,12,220,214054,0
4500000,12,220,215024,0
4600000,12,220,217024,0
4700000,12,220,219890,0
4800000,12,220,222734,0
4900000,12,220,225427,0
5000000,12,220,228145,0
5100000,12,220,230872,0
5200000,12,220,233296,0
5300000,12,220,235792,0
5400000,12,220,238350,0
5500000,12,220,240872,0
5600000,12,220,243551,0
5700000,12,220,246173,0
5800000,12,220,248684,0
5900000,12,220,251124,0
6000000,12,220,253660,0
6100000,12,220,256101,0
6200000,12,220,258907,0
6300000,12,220,261237,0
6400000,12,220,263474,0
6500000,12,220,265775,0
6600000,12,220,268068,0
6700000,12,220,270465,0
6800000,12,220,273680,0
6900000,12,220,277152,0
7000000,12,220,280441,0
7100000,12,220,283988,0
7200000,12,220,287614,0
7300000,12,220,291141,0
7500000,12,220,300096,0
7525000,12,220,301497,0
7550000,12,220,302884,0
7575000,12,220,304299,0
7600000,12,220,305719,0
7625000,12,220,307162,0
7650000,12,220,308484,0
7675000,12,220,309582,0
0,13,220,0,0
100000,13,220,104337,0
1000000,13,220,104337,0
1100000,13,220,104341,0
1200000,13,220,104337,0
1300000,13,220,104330,0
1400000,13,220,104322,0
1500000,13,220,104318,0
1600000,13,220,104310,0
1700000,13,220,104305,0
1800000,13,220,104300,0
1900000,13,220,104296,0
2000000,13,220,104392,0
2100000,13,220,105310,0
2200000,13,220,106318,0
2300000,13,220,107347,0
2400000,13,220,109213,0
2500000,13,220,111824,0
2600000,13,220,114595,0
2700000,13,220,117007,0
2800000,13,220,119477,0
2900000,13,220,121727,0
3000000,13,220,124015,0
3100000,13,220,126483,0
3200000,13,220,128903,0
3300000,13,220,131285,0
3400000,13,220,133952,0
3500000,13,220,136276,0
3600000,13,220,138805,0
3700000,13,220,141479,0
3720000,13,220,142405,0
3745000,13,220,143589,0
3770000,13,220,144762,0
3795000,13,220,145912,0
3820000,13,220,146994,0
3845000,13,220,148119,0
3870000,13,220,149219,0
3895000,13,220,150307,0
3920000,13,220,151252,0
3945000,13,220,152409,0
3970000,13,220,153932,0
3995000,13,220,208972,0
4020000,13,220,208977,0
4045000,13,220,209000,0
4070000,13,220,209068,0
4095000,13,220,209257,0
4100000,13,220,209272,0
4200000,13,220,210524,0
4300000,13,220,211613,0
4400000,13,220,212600,0
4500000,13,220,213608,0
4600000,13,220,214675,0
4700000,13,220,216479,0
4800000,13,220,218411,0
4900000,13,220,220857,0
5000000,13,220,223658,0
5100000,13,220,226447,0
5200000,13,220,229190,0
5300000,13,220,231820,0
5400000,13,220,234121,0
5500000,13,220,236459,0
5600000,13,220,238926,0
5700000,13,220,241337,0
5800000,13,220,243475,0
5900000,13,220,245672,0
6000000,13,220,248007,0
6100000,13,220,250485,0
6200000,13,220,252965,0
6300000,13,220,255353,0
6400000,13,220,257792,0
6500000,13,220,260252,0
6600000,13,220,262504,0
6700000,13,220,265106,0
6800000,13,220,267856,0
6900000,13,220,270374,0
7000000,13,220,272575,0
7100000,13,220,274965,0
7200000,13,220,277507,0
7300000,13,220,279906,0
7400000,13,220,282957,0
7500000,13,220,287662,0
7600000,13,220,292380,0
7700000,13,220,296716,0
7800000,13,220,301183,0
7900000,13,220,305561,0
8000000,13,220,311942,0
0,14,220,0,0
100000,14,220,104365,0
1000000,14,220,104365,0
1100000,14,220,104391,0
1200000,14,220,104388,0
1300000,14,220,104385,0
1400000,14,220,104375,0
1500000,14,220,104372,0
1600000,14,220,104364,0
1700000,14,220,104359,0
1800000,14,220,104355,0
1900000,14,220,104351,0
2000000,14,220,104345,0
2100000,14,220,104597,0
2200000,14,220,105578,0
2300000,14,220,106556,0
2400000,14,220,108351,0
2500000,14,220,110242,0
2600000,14,220,112255,0
2700000,14,220,114962,0
2800000,14,220,117561,0
2900000,14,220,119896,0
3000000,14,220,122188,0
3100000,14,220,124033,0
3200000,14,220,126210,0
3300000,14,220,128472,0
3400000,14,220,130773,0
3500000,14,220,133178,0
3600000,14,220,135788,0
3700000,14,220,138599,0
3800000,14,220,141183,0
3900000,14,220,143993,0
4000000,14,220,147582,0
4025000,14,220,149010,0
4050000,14,220,150462,0
4075000,14,220,151983,0
4100000,14,220,153726,0
4125000,14,220,208760,0
4150000,14,220,208770,0
4175000,14,220,208802,0
4200000,14,220,209196,0
4225000,14,220,209252,0
4250000,14,220,209873,0
4300000,14,220,210011,0
4400000,14,220,211354,0
4500000,14,220,212474,0
4600000,14,220,213291,0
4700000,14,220,214929,0
4800000,14,220,216717,0
4900000,14,220,218427,0
5000000,14,220,220494,0
5100000,14,220,222396,0
5200000,14,220,224511,0
5300000,14,220,227226,0
5400000,14,220,229933,0
5500000,14,220,232604,0
5600000,14,220,235123,0
5700000,14,220,237541,0
5800000,14,220,239753,0
5900000,14,220,241906,0
6000000,14,220,244375,0
6100000,14,220,246332,0
6200000,14,220,248053,0
6300000,14,220,250573,0
6400000,14,220,252413,0
6500000,14,220,254466,0
6600000,14,220,256928,0
6700000,14,220,259263,0
6800000,14,220,261586,0
6900000,14,220,264048,0
7000000,14,220,266265,0
7100000,14,220,268783,0
7200000,14,220,271517,0
7300000,14,220,274543,0
7400000,14,220,277217,0
7500000,14,220,279595,0
7600000,14,220,282313,0
7700000,14,220,285152,0
7800000,14,220,287971,0
7900000,14,220,291166,0
8000000,14,220,295194,0
8100000,14,220,301118,0
8200000,14,220,307478,0
8300000,14,220,313596,0
0,15,220,0,0
100000,15,220,104265,0
1000000,15,220,104265,0
1200000,15,220,104281,0
1400000,15,220,104273,0
1600000,15,220,104264,0
1800000,15,220,104259,0
2000000,15,220,104247,0
2200000,15,220,104854,0
2400000,15,220,107624,0
2600000,15,220,111186,0
2800000,15,220,115289,0
3000000,15,220,120300,0
3200000,15,220,124783,0
3400000,15,220,128550,0
3600000,15,220,132585,0
3625000,15,220,133153,0
3650000,15,220,133723,0
3675000,15,220,134377,0
3700000,15,220,135052,0
3725000,15,220,135742,0
3750000,15,220,136422,0
3775000,15,220,137079,0
3800000,15,220,137718,0
3825000,15,220,138360,0
3850000,15,220,139025,0
3875000,15,220,139859,0
3900000,15,220,140719,0
3925000,15,220,141563,0
3950000,15,220,142406,0
3975000,15,220,143177,0
4000000,15,220,143852,0
4025000,15,220,144571,0
4050000,15,220,145321,0
4075000,15,220,146186,0
4100000,15,220,147129,0
4125000,15,220,148102,0
4150000,15,220,149105,0
4175000,15,220,150121,0
4200000,15,220,151090,0
4225000,15,220,152057,0
4250000,15,220,153012,0
4275000,15,220,154047,0
4300000,15,220,209044,0
4325000,15,220,209104,0
4350000,15,220,209149,0
4375000,15,220,209746,0
4400000,15,220,209806,0
4400000,15,220,209806,0
4500000,15,220,210732,0
4600000,15,220,211996,0
4700000,15,220,213313,0
4800000,15,220,215265,0
4900000,15,220,217052,0
5000000,15,220,218826,0
5100000,15,220,220590,0
5200000,15,220,222372,0
5300000,15,220,224243,0
5400000,15,220,226094,0
5500000,15,220,228096,0
5600000,15,220,230581,0
5700000,15,220,233085,0
5800000,15,220,235708,0
5900000,15,220,238173,0
6000000,15,220,240597,0
6100000,15,220,242894,0
6200000,15,220,245119,0
6300000,15,220,247369,0
6400000,15,220,249579,0
6500000,15,220,251532,0
6600000,15,220,253058,0
6700000,15,220,255025,0
6800000,15,220,257106,0
6900000,15,220,259139,0
7000000,15,220,261108,0
7100000,15,220,262953,0
7200000,15,220,265166,0
7300000,15,220,267529,0
7400000,15,220,270099,0
7500000,15,220,272931,0
7600000,15,220,275420,0
7700000,15,220,278079,0
7800000,15,220,281467,0
7900000,15,220,284923,0
8000000,15,220,287717,0
8100000,15,220,290660,0
8200000,15,220,294299,0
8300000,15,220,298192,0
8400000,15,220,302093,0
0,16,220,0,0
100000,16,220,104153,0
1000000,16,220,104153,0
1200000,16,220,104266,0
1400000,16,220,104260,0
1600000,16,220,104250,0
1800000,16,220,104242,0
2000000,16,220,104230,0
2200000,16,220,104221,0
2400000,16,220,106912,0
2600000,16,220,110403,0
2800000,16,220,113909,0
3000000,16,220,118062,0
3200000,16,220,122927,0
3400000,16,220,127194,0
3600000,16,220,130932,0
3800000,16,220,134475,0
3850000,16,220,135584,0
3900000,16,220,137052,0
3950000,16,220,138379,0
4000000,16,220,139769,0
4050000,16,220,141237,0
4100000,16,220,142818,0
4150000,16,220,144697,0
4200000,16,220,146703,0
4250000,16,220,148640,0
4300000,16,220,150609,0
4350000,16,220,152840,0
4400000,16,220,155222,0
4450000,16,220,209003,0
4500000,16,220,209453,0
4550000,16,220,209898,0
4600000,16,220,210346,0
4700000,16,220,212022,0
4800000,16,220,213750,0
4900000,16,220,215615,0
5000000,16,220,217383,0
5100000,16,220,219041,0
5200000,16,220,220763,0
5300000,16,220,222489,0
5400000,16,220,224198,0
5500000,16,220,226080,0
5600000,16,220,227802,0
5700000,16,220,229633,0
5800000,16,220,231431,0
5900000,16,220,233742,0
6000000,16,220,236088,0
6100000,16,220,238529,0
6200000,16,220,241137,0
6300000,16,220,243564,0
6400000,16,220,245774,0
6500000,16,220,248249,0
6600000,16,220,250489,0
6700000,16,220,252500,0
6800000,16,220,254378,0
6900000,16,220,256363,0
7000000,16,220,258315,0
7100000,16,220,260011,0
7200000,16,220,261834,0
7300000,16,220,263764,0
7400000,16,220,265593,0
7500000,16,220,267357,0
7600000,16,220,268952,0
7700000,16,220,271168,0
7800000,16,220,274105,0
7900000,16,220,276758,0
8000000,16,220,279538,0
8100000,16,220,282474,0
8200000,16,220,285635,0
8300000,16,220,289394,0
8400000,16,220,293408,0
0,12,230,0,0
100000,12,230,107296,0
1000000,12,230,107296,0
1100000,12,230,107306,0
1200000,12,230,107300,0
1300000,12,230,107295,0
1400000,12,230,107291,0
1500000,12,230,107287,0
1600000,12,230,107282,0
1700000,12,230,107277,0
1800000,12,230,107273,0
1900000,12,230,107268,0
2000000,12,230,107276,0
2100000,12,230,108330,0
2200000,12,230,109416,0
2300000,12,230,110659,0
2400000,12,230,112729,0
2500000,12,230,115342,0
2600000,12,230,117881,0
2700000,12,230,120421,0
2800000,12,230,122953,0
2900000,12,230,125486,0
3000000,12,230,127855,0
3100000,12,230,130447,0
3200000,12,230,132821,0
3300000,12,230,134969,0
3400000,12,230,137936,0
3425000,12,230,138847,0
3450000,12,230,139731,0
3475000,12,230,140605,0
3500000,12,230,141437,0
3525000,12,230,142207,0
3550000,12,230,143087,0
3575000,12,230,144007,0
3600000,12,230,144968,0
3625000,12,230,145916,0
3650000,12,230,147015,0
3675000,12,230,148076,0
3700000,12,230,149222,0
3725000,12,230,150492,0
3750000,12,230,151808,0
3770000,12,230,152739,0
3795000,12,230,153952,0
3820000,12,230,214525,0
3845000,12,230,214531,0
3870000,12,230,214531,0
3895000,12,230,214530,0
3920000,12,230,214529,0
3945000,12,230,214529,0
3970000,12,230,214529,0
3995000,12,230,214537,0
4020000,12,230,215010,0
4045000,12,230,215087,0
4070000,12,230,215499,0
4095000,12,230,215580,0
4120000,12,230,216008,0
4000000,12,230,214795,0
4100000,12,230,215585,0
4200000,12,230,216939,0
4300000,12,230,217825,0
4400000,12,230,218833,0
4500000,12,230,219874,0
4600000,12,230,221461,0
4700000,12,230,223361,0
4800000,12,230,225301,0
4900000,12,230,228051,0
5000000,12,230,230748,0
5100000,12,230,233275,0
5200000,12,230,235762,0
5300000,12,230,238321,0
5400000,12,230,240831,0
5500000,12,230,243308,0
5600000,12,230,245902,0
5700000,12,230,248489,0
5800000,12,230,250965,0
5900000,12,230,253349,0
6000000,12,230,255756,0
6100000,12,230,258171,0
6200000,12,230,260907,0
6300000,12,230,263359,0
6400000,12,230,265586,0
6500000,12,230,267805,0
6600000,12,230,269924,0
6700000,12,230,272432,0
6800000,12,230,275871,0
6900000,12,230,279559,0
7000000,12,230,282884,0
7100000,12,230,286205,0
7200000,12,230,290032,0
7300000,12,230,294124,0
7500000,12,230,303669,0
7525000,12,230,304951,0
7550000,12,230,306035,0
7575000,12,230,307214,0
7600000,12,230,308573,0
7625000,12,230,310152,0
7650000,12,230,311801,0
7675000,12,230,313402,0
0,13,230,0,0
100000,13,230,107400,0
1000000,13,230,107400,0
1100000,13,230,107415,0
1200000,13,230,107411,0
1300000,13,230,107406,0
1400000,13,230,107401,0
1500000,13,230,107394,0
1600000,13,230,107389,0
1700000,13,230,107385,0
1800000,13,230,107381,0
1900000,13,230,107377,0
2000000,13,230,107372,0
2100000,13,230,107873,0
2200000,13,230,108803,0
2300000,13,230,109777,0
2400000,13,230,110854,0
2500000,13,230,113143,0
2600000,13,230,115821,0
2700000,13,230,118282,0
2800000,13,230,120687,0
2900000,13,230,122885,0
3000000,13,230,125186,0
3100000,13,230,127601,0
3200000,13,230,129918,0
3300000,13,230,132357,0
3400000,13,230,134917,0
3500000,13,230,137377,0
3600000,13,230,139870,0
3700000,13,230,142892,0
3720000,13,230,143741,0
3745000,13,230,144796,0
3770000,13,230,145907,0
3795000,13,230,147154,0
3820000,13,230,148344,0
3845000,13,230,149610,0
3870000,13,230,150848,0
3895000,13,230,152058,0
3920000,13,230,153280,0
3945000,13,230,154418,0
3970000,13,230,214737,0
3995000,13,230,214736,0
4020000,13,230,214737,0
4045000,13,230,214737,0
4070000,13,230,214736,0
4095000,13,230,214736,0
4100000,13,230,214736,0
4200000,13,230,215641,0
4300000,13,230,216642,0
4400000,13,230,217604,0
4500000,13,230,218580,0
4600000,13,230,219544,0
4700000,13,230,220547,0
4800000,13,230,221565,0
4900000,13,230,223647,0
5000000,13,230,226300,0
5100000,13,230,228973,0
5200000,13,230,231652,0
5300000,13,230,234135,0
5400000,13,230,236562,0
5500000,13,230,238883,0
5600000,13,230,241383,0
5700000,13,230,243633,0
5800000,13,230,245782,0
5900000,13,230,247999,0
6000000,13,230,250373,0
6100000,13,230,252800,0
6200000,13,230,255197,0
6300000,13,230,257520,0
6400000,13,230,259791,0
6500000,13,230,262281,0
6600000,13,230,264676,0
6700000,13,230,267251,0
6800000,13,230,269866,0
6900000,13,230,272046,0
7000000,13,230,274764,0
7100000,13,230,277047,0
7200000,13,230,279693,0
7300000,13,230,282264,0
7400000,13,230,285780,0
7500000,13,230,290058,0
7600000,13,230,294875,0
7700000,13,230,299743,0
7800000,13,230,304691,0
7900000,13,230,309560,0
8000000,13,230,315357,0
0,14,230,0,0
100000,14,230,107441,0
1000000,14,230,107441,0
1100000,14,230,107467,0
1200000,14,230,107464,0
1300000,14,230,107460,0
1400000,14,230,107455,0
1500000,14,230,107447,0
1600000,14,230,107440,0
1700000,14,230,107435,0
1800000,14,230,107432,0
1900000,14,230,107428,0
2000000,14,230,107424,0
2100000,14,230,107419,0
2200000,14,230,108198,0
2300000,14,230,109158,0
2400000,14,230,110084,0
2500000,14,230,111730,0
2600000,14,230,113621,0
2700000,14,230,116199,0
2800000,14,230,118772,0
2900000,14,230,121075,0
3000000,14,230,123286,0
3100000,14,230,125452,0
3200000,14,230,127344,0
3300000,14,230,129570,0
3400000,14,230,131864,0
3500000,14,230,134258,0
3600000,14,230,136691,0
3700000,14,230,139689,0
3800000,14,230,142309,0
3900000,14,230,145340,0
