RATE,SUCTION_PRESSURE,DISCHARGE_PRESSURE,FUEL,POWER
# MSm3/d,bg,bg,Sm3/d,MW
0,12,210,0,0
100000,12,210,101140,1
1000000,12,210,101140,1
1100000,12,210,101157,1
1200000,12,210,101152,1
1300000,12,210,101148,1
1400000,12,210,101141,1
1500000,12,210,101132,1
1600000,12,210,101127,1
1700000,12,210,101122,1
1800000,12,210,101117,1
1900000,12,210,101112,1
2000000,12,210,101108,1
2100000,12,210,101104,1
2200000,12,210,102187,1
2300000,12,210,103940,1
2400000,12,210,106023,1
2500000,12,210,108983,1
2600000,12,210,111896,1
2700000,12,210,114561,1
2800000,12,210,117085,1
2900000,12,210,119829,1
3000000,12,210,122451,1
3100000,12,210,125296,1
3200000,12,210,127961,1
3300000,12,210,130266,1
3400000,12,210,132493,1
3425000,12,210,133297,1
3450000,12,210,134208,1
3475000,12,210,135052,1
3500000,12,210,135853,1
3525000,12,210,136580,1
3550000,12,210,137261,1
3575000,12,210,138045,1
3600000,12,210,138871,1
3625000,12,210,139687,1
3650000,12,210,140566,1
3675000,12,210,141459,1
3700000,12,210,142255,1
3725000,12,210,143094,1
3750000,12,210,143973,1
3775000,12,210,144983,1
3800000,12,210,146180,1
3825000,12,210,147295,1
3850000,12,210,148418,1
3875000,12,210,149373,1
3900000,12,210,150347,1
3925000,12,210,151552,1
3950000,12,210,152923,1
3975000,12,210,154305,1
3975000,12,210,204273,1
4000000,12,210,204364,1
4025000,12,210,204819,1
4050000,12,210,204911,1
4075000,12,210,205372,1
4100000,12,210,205607,1
4200000,12,210,206875,1
4300000,12,210,207735,1
4400000,12,210,209118,1
4500000,12,210,211133,1
4600000,12,210,214157,1
4700000,12,210,217150,1
4800000,12,210,220102,1
4900000,12,210,222951,1
5000000,12,210,225422,1
5100000,12,210,228186,1
5200000,12,210,230805,1
5300000,12,210,233270,1
5400000,12,210,235738,1
5500000,12,210,238413,1
5600000,12,210,241103,1
5700000,12,210,243768,1
5800000,12,210,246375,1
5900000,12,210,248968,1
6000000,12,210,251554,1
6100000,12,210,254019,1
6200000,12,210,256689,1
6300000,12,210,259139,1
6400000,12,210,261770,1
6500000,12,210,263857,1
6600000,12,210,266281,1
6700000,12,210,268498,1
6800000,12,210,271337,1
6900000,12,210,274836,1
7000000,12,210,278572,1
7100000,12,210,281916,1
7200000,12,210,285230,1
7300000,12,210,288237,1
7400000,12,210,292593,1
7500000,12,210,297738,1
7525000,12,210,298915,1
7550000,12,210,300142,1
7575000,12,210,301290,1
7600000,12,210,302549,1
7625000,12,210,303773,1
7650000,12,210,304846,1
7675000,12,210,306140,1
7700000,12,210,307582,1
0,13,210,0,0
100000,13,210,101155,1
1000000,13,210,101155,1
1100000,13,210,101149,1
1200000,13,210,101144,1
1300000,13,210,101140,1
1400000,13,210,101135,1
1500000,13,210,101120,1
1600000,13,210,101116,1
1700000,13,210,101111,1
1800000,13,210,101106,1
1900000,13,210,101102,1
2000000,13,210,101096,1
2100000,13,210,101090,1
2200000,13,210,101540,1
2300000,13,210,102638,1
2400000,13,210,103850,1
2500000,13,210,106601,1
2600000,13,210,109494,1
2700000,13,210,112354,1
2800000,13,210,115273,1
2900000,13,210,117425,1
3000000,13,210,119829,1
3100000,13,210,122135,1
3200000,13,210,124661,1
3300000,13,210,127148,1
3400000,13,210,129976,1
3500000,13,210,132507,1
3600000,13,210,134727,1
3700000,13,210,137034,1
3725000,13,210,137761,1
3750000,13,210,138644,1
3775000,13,210,139687,1
3800000,13,210,140715,1
3825000,13,210,141682,1
3850000,13,210,142583,1
3875000,13,210,143505,1
3900000,13,210,144480,1
3925000,13,210,145393,1
3950000,13,210,146262,1
3975000,13,210,147295,1
4000000,13,210,148483,1
4025000,13,210,149768,1
4050000,13,210,151132,1
4075000,13,210,152588,1
4100000,13,210,154094,1
4100000,13,210,204334,1
4200000,13,210,205200,1
4300000,13,210,206404,1
4400000,13,210,207552,1
4500000,13,210,209322,1
4600000,13,210,211209,1
4700000,13,210,213342,1
4800000,13,210,215369,1
4900000,13,210,218083,1
5000000,13,210,221013,1
5100000,13,210,223915,1
5200000,13,210,226610,1
5300000,13,210,229279,1
5400000,13,210,231570,1
5500000,13,210,234010,1
5600000,13,210,236433,1
5700000,13,210,239010,1
5800000,13,210,241213,1
5900000,13,210,243306,1
6000000,13,210,245587,1
6100000,13,210,248178,1
6200000,13,210,250745,1
6300000,13,210,253210,1
6400000,13,210,255690,1
6500000,13,210,258149,1
6600000,13,210,260330,1
6700000,13,210,263274,1
6800000,13,210,266001,1
6900000,13,210,268351,1
7000000,13,210,270577,1
7100000,13,210,273053,1
7200000,13,210,275345,1
7300000,13,210,277616,1
7400000,13,210,281013,1
7500000,13,210,285342,1
7600000,13,210,289801,1
7700000,13,210,293876,1
7800000,13,210,298057,1
7900000,13,210,302750,1
8000000,13,210,308681,1
0,14,210,0,0
100000,14,210,101119,1
1000000,14,210,101119,1
1100000,14,210,101144,1
1200000,14,210,101141,1
1300000,14,210,101136,1
1400000,14,210,101133,1
1500000,14,210,101120,1
1600000,14,210,101115,1
1700000,14,210,101111,1
1800000,14,210,101106,1
1900000,14,210,101102,1
2000000,14,210,101098,1
2100000,14,210,101090,1
2200000,14,210,101089,1
2300000,14,210,101924,1
2400000,14,210,103086,1
2500000,14,210,104772,1
2600000,14,210,107132,1
2700000,14,210,109933,1
2800000,14,210,112720,1
2900000,14,210,115357,1
3000000,14,210,118155,1
3100000,14,210,120382,1
3200000,14,210,122333,1
3300000,14,210,124459,1
3400000,14,210,126763,1
3500000,14,210,129031,1
3600000,14,210,131610,1
3700000,14,210,134602,1
3800000,14,210,137054,1
3900000,14,210,139445,1
4000000,14,210,142178,1
4025000,14,210,143145,1
4050000,14,210,144100,1
4075000,14,210,145287,1
4100000,14,210,146489,1
4125000,14,210,147720,1
4150000,14,210,149061,1
4175000,14,210,150304,1
4200000,14,210,151552,1
4225000,14,210,152837,1
4250000,14,210,154167,1
4300000,14,210,204898,1
4400000,14,210,205940,1
4500000,14,210,207884,1
4600000,14,210,209691,1
4700000,14,210,211481,1
4800000,14,210,213382,1
4900000,14,210,215412,1
5000000,14,210,217399,1
5100000,14,210,219376,1
5200000,14,210,221836,1
5300000,14,210,224565,1
5400000,14,210,227371,1
5500000,14,210,230066,1
5600000,14,210,232629,1
5700000,14,210,235104,1
5800000,14,210,237393,1
5900000,14,210,239854,1
6000000,14,210,242339,1
6100000,14,210,243974,1
6200000,14,210,245929,1
6300000,14,210,248130,1
6400000,14,210,250360,1
6500000,14,210,252511,1
6600000,14,210,254762,1
6700000,14,210,256962,1
6800000,14,210,259383,1
6900000,14,210,261856,1
7000000,14,210,264544,1
7100000,14,210,266947,1
7200000,14,210,269600,1
7300000,14,210,272517,1
7400000,14,210,275247,1
7500000,14,210,277636,1
7600000,14,210,280110,1
7700000,14,210,283069,1
7800000,14,210,286075,1
7900000,14,210,288886,1
8000000,14,210,292437,1
8100000,14,210,298240,1
8200000,14,210,304237,1
8300000,14,210,310073,1
0,15,210,0,0
100000,15,210,100968,1
1000000,15,210,100968,1
1200000,15,210,101121,1
1400000,15,210,101116,1
1600000,15,210,101109,1
1800000,15,210,101096,1
2000000,15,210,101085,1
2200000,15,210,101078,1
