timesteps,model.is_valid[N/A],model.energy_usage[Sm3/cd],model.energy_usage_cumulative[Sm3 (cd)],model.power[MW (sd)],model.power_cumulative[GWh (cd)],model.co2.rate[t/cd],model.co2.cumulative[t (cd)],model.hydrocarbon_export_rate[Sm3/cd],model.co2.intensity_sm3[kg/Sm3],model.co2.intensity_boe[kg/BOE],model.co2.intensity_yearly_sm3[kg/Sm3],model.co2.intensity_yearly_boe[kg/BOE],model.power_electrical[MW (sd)],model.power_electrical_cumulative[GWh (cd)],model.power_mechanical[MW (sd)],model.power_mechanical_cumulative[GWh (cd)],Installation A.is_valid[N/A],Installation A.energy_usage[Sm3/cd],Installation A.energy_usage_cumulative[Sm3 (cd)],Installation A.power[MW (sd)],Installation A.power_cumulative[GWh (cd)],Installation A.co2.rate[t/cd],Installation A.co2.cumulative[t (cd)],Installation A.hydrocarbon_export_rate[Sm3/cd],Installation A.co2.intensity_sm3[kg/Sm3],Installation A.co2.intensity_boe[kg/BOE],Installation A.co2.intensity_yearly_sm3[kg/Sm3],Installation A.co2.intensity_yearly_boe[kg/BOE],Installation A.power_electrical[MW (sd)],Installation A.power_electrical_cumulative[GWh (cd)],Installation A.power_mechanical[MW (sd)],Installation A.power_mechanical_cumulative[GWh (cd)],Installation A.regularity[N/A],Generator set A.is_valid[N/A],Generator set A.energy_usage[Sm3/cd],Generator set A.energy_usage_cumulative[Sm3 (cd)],Generator set A.power[MW (sd)],Generator set A.power_cumulative[GWh (cd)],Generator set A.co2.rate[t/cd],Generator set A.co2.cumulative[t (cd)],Generator set A.power_capacity_margin[MW (sd)],Gas export compressor.is_valid[N/A],Gas export compressor.energy_usage[Sm3/cd],Gas export compressor.energy_usage_cumulative[Sm3 (cd)],Gas export compressor.co2.rate[t/cd],Gas export compressor.co2.cumulative[t (cd)],Gas export compressor.recirculation_loss[MW (sd)],Gas export compressor.rate_exceeds_maximum[N/A],Gas injection compressor.is_valid[N/A],Gas injection compressor.energy_usage[MW (sd)],Gas injection compressor.energy_usage_cumulative[MWd (cd)],Gas injection compressor.power[MW (sd)],Gas injection compressor.power_cumulative[GWh (cd)],Gas injection compressor.recirculation_loss[MW (sd)],Gas injection compressor.rate_exceeds_maximum[N/A],Produced water reinjection pump.is_valid[N/A],Produced water reinjection pump.energy_usage[MW (sd)],Produced water reinjection pump.energy_usage_cumulative[MWd (cd)],Produced water reinjection pump.power[MW (sd)],Produced water reinjection pump.power_cumulative[GWh (cd)],Produced water reinjection pump.inlet_liquid_rate_m3_per_day[Sm3/sd],Produced water reinjection pump.inlet_pressure_bar[bara],Produced water reinjection pump.outlet_pressure_bar[bara],Produced water reinjection pump.operational_head[J/kg],Base production load.is_valid[N/A],Base production load.energy_usage[MW (sd)],Base production load.energy_usage_cumulative[MWd (cd)],Base production load.power[MW (sd)],Base production load.power_cumulative[GWh (cd)],Flare.is_valid[N/A],Flare.energy_usage[Sm3/cd],Flare.energy_usage_cumulative[Sm3 (cd)],Flare.co2.rate[t/cd],Flare.co2.cumulative[t (cd)],Sea water injection pump.is_valid[N/A],Sea water injection pump.energy_usage[MW (sd)],Sea water injection pump.energy_usage_cumulative[MWd (cd)],Sea water injection pump.power[MW (sd)],Sea water injection pump.power_cumulative[GWh (cd)]
2020-01-01 00:00:00,1,        310830.00000,             0.00000,            27.71452,             0.00000,           680.71770,             0.00000,         12500.00000,nan,nan,54.45742,8.657777,            27.71452,             0.00000,             0.00000,             0.00000,1,        310830.00000,             0.00000,            27.71452,             0.00000,           680.71770,             0.00000,         12500.00000,nan,nan,54.45742,8.657777,            27.71452,             0.00000,             0.00000,             0.00000,             1.00000,1,        173830.00000,             0.00000,            27.71452,             0.00000,           380.68770,             0.00000,            72.28548,1,        130000.00000,             0.00000,           284.70000,             0.00000,             0.00000,0,1,             4.89000,             0.00000,             4.89000,             0.00000,             0.00000,0,1,             5.02452,             0.00000,             5.02452,             0.00000,         17000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,             0.00000,            11.80000,             0.00000,1,          7000.00000,             0.00000,            15.33000,             0.00000,1,             6.00000,             0.00000,             6.00000,             0.00000
2021-01-01 00:00:00,1,        311343.90000,     113763780.00000,            27.61307,           243.44430,           681.84320,        249142.70000,         11600.00000,54.45742,8.657777,58.77959,9.344926,            27.61307,           243.44430,             0.00000,             0.00000,1,        311343.90000,     113763780.00000,            27.61307,           243.44430,           681.84320,        249142.70000,         11600.00000,54.45742,8.657777,58.77959,9.344926,            27.61307,           243.44430,             0.00000,             0.00000,             1.00000,1,        173201.00000,      63621780.00000,            27.61307,           243.44430,           379.31020,        139331.70000,            72.38693,1,        131142.90000,      47580000.00000,           287.20300,        104200.20000,             0.00000,0,1,             5.01000,          1789.74000,             5.01000,            42.95376,             0.00000,0,1,             5.05307,          1838.97300,             5.05307,            44.13536,         17200.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,          4318.80000,            11.80000,           103.65120,1,          7000.00000,       2562000.00000,            15.33000,          5610.78000,1,             5.75000,          2196.00000,             5.75000,            52.70400
2022-01-01 00:00:00,1,        309378.10000,     227404304.00000,            27.11168,           485.33480,           677.53810,        498015.40000,         10700.00000,56.53484,8.988052,63.32132,10.06698,            27.11168,           485.33480,             0.00000,             0.00000,1,        309378.10000,     227404304.00000,            27.11168,           485.33480,           677.53810,        498015.40000,         10700.00000,56.53484,8.988052,63.32132,10.06698,            27.11168,           485.33480,             0.00000,             0.00000,             1.00000,1,        170092.40000,     126840145.00000,            27.11168,           485.33480,           372.50240,        277779.90000,            72.88832,1,        132285.70000,      95447158.00000,           289.70570,        209029.30000,             0.00000,0,1,             5.13000,          3618.39000,             5.13000,            86.84136,             0.00000,0,1,             4.68168,          3683.34500,             4.68168,            88.40027,         15000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,          8625.80000,            11.80000,           207.01920,1,          7000.00000,       5117000.00000,            15.33000,         11206.23000,1,             5.50000,          4294.75000,             5.50000,           103.07400
2023-01-01 00:00:00,1,        317428.00000,     340327310.00000,            28.22570,           722.83320,           695.16730,        745316.90000,          9800.00000,58.61944,9.319466,70.93544,11.27749,            28.22570,           722.83320,             0.00000,             0.00000,1,        317428.00000,     340327310.00000,            28.22570,           722.83320,           695.16730,        745316.90000,          9800.00000,58.61944,9.319466,70.93544,11.27749,            28.22570,           722.83320,             0.00000,             0.00000,             1.00000,1,        176999.40000,     188923871.00000,            28.22570,           722.83320,           387.62870,        413743.30000,            71.77430,1,        133428.60000,     143731439.00000,           292.20860,        314771.90000,             0.00000,0,1,             5.56000,          5490.84000,             5.56000,           131.78020,             0.00000,0,1,             4.86570,          5392.15600,             4.86570,           129.41170,         16000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         12932.80000,            11.80000,           310.38720,1,          7000.00000,       7672000.00000,            15.33000,         16801.68000,1,             6.00000,          6302.25000,             6.00000,           151.25400
2024-01-01 00:00:00,1,        340633.50000,     456188530.00000,            31.78422,           970.09030,           745.98740,        999052.90000,          9900.00000,61.32357,9.749375,75.37705,11.98363,            31.78422,           970.09030,             0.00000,             0.00000,1,        340633.50000,     456188530.00000,            31.78422,           970.09030,           745.98740,        999052.90000,          9900.00000,61.32357,9.749375,75.37705,11.98363,            31.78422,           970.09030,             0.00000,             0.00000,             1.00000,1,        199062.10000,     253528652.00000,            31.78422,           970.09030,           435.94600,        555227.80000,            68.21578,1,        134571.40000,     192432878.00000,           294.71140,        421428.00000,             0.00000,0,1,             5.72000,          7520.24000,             5.72000,           180.48580,             0.00000,0,1,             4.50746,          7168.13700,             4.50746,           172.03530,         14000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         17239.80000,            11.80000,           413.75520,1,          7000.00000,      10227000.00000,            15.33000,         22397.13000,1,             9.75676,          8492.25000,             9.75676,           203.81400
2024-12-01 00:00:00,1,        345398.60000,     570300752.00000,            32.36843,          1225.63500,           756.42290,       1248959.00000,         10000.00000,63.69638,10.12661,75.37705,11.98363,            32.36843,          1225.63500,             0.00000,             0.00000,1,        345398.60000,     570300752.00000,            32.36843,          1225.63500,           756.42290,       1248959.00000,         10000.00000,63.69638,10.12661,75.37705,11.98363,            32.36843,          1225.63500,             0.00000,             0.00000,             1.00000,1,        202684.30000,     320214456.00000,            32.36843,          1225.63500,           443.87860,        701269.70000,            67.63157,1,        135714.30000,     237514297.00000,           297.21430,        520156.30000,             0.00000,0,1,             6.13000,          9436.44000,             6.13000,           226.47460,             0.00000,0,1,             4.68168,          8678.13600,             4.68168,           208.27530,         15000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         21192.80000,            11.80000,           508.62720,1,          7000.00000,      12572000.00000,            15.33000,         27532.68000,1,             9.75676,         11760.76000,             9.75676,           282.25830
2026-01-01 00:00:00,1,        346729.90000,     707078598.00000,            32.39884,          1533.26500,           759.33840,       1548502.00000,         11100.00000,65.70359,10.44572,68.40886,10.87581,            32.39884,          1533.26500,             0.00000,             0.00000,1,        346729.90000,     707078598.00000,            32.39884,          1533.26500,           759.33840,       1548502.00000,         11100.00000,65.70359,10.44572,68.40886,10.87581,            32.39884,          1533.26500,             0.00000,             0.00000,             1.00000,1,        202872.80000,     400477438.00000,            32.39884,          1533.26500,           444.29140,        877045.60000,            67.60116,1,        136857.10000,     291257160.00000,           299.71700,        637853.20000,             0.00000,0,1,             6.25000,         11863.92000,             6.25000,           284.73410,             0.00000,0,1,             5.02452,         10532.08000,             5.02452,           252.76990,         17000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         25865.60000,            11.80000,           620.77440,1,          7000.00000,      15344000.00000,            15.33000,         33603.36000,1,             9.32432,         15624.44000,             9.32432,           374.98650
2027-01-01 00:00:00,1,        355282.00000,     833635012.00000,            33.04086,          1817.07900,           778.06750,       1825661.00000,         10500.00000,66.10042,10.50881,74.10167,11.78087,            33.04086,          1817.07900,             0.00000,             0.00000,1,        355282.00000,     833635012.00000,            33.04086,          1817.07900,           778.06750,       1825661.00000,         10500.00000,66.10042,10.50881,74.10167,11.78087,            33.04086,          1817.07900,             0.00000,             0.00000,             1.00000,1,        206853.40000,     474526010.00000,            33.04086,          1817.07900,           453.00890,       1039212.00000,            66.95914,1,        141428.60000,     341210001.00000,           309.72860,        747249.90000,             0.00000,0,1,             6.37000,         14145.17000,             6.37000,           339.48410,             0.00000,0,1,             4.68168,         12366.03000,             4.68168,           296.78470,         15000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         30172.60000,            11.80000,           724.14240,1,          7000.00000,      17899000.00000,            15.33000,         39198.81000,1,            10.18919,         19027.82000,            10.18919,           456.66760
2028-01-01 00:00:00,1,        339026.40000,     963312942.00000,            32.26232,          2106.51700,           742.46780,       2109655.00000,          9500.00000,67.07539,10.66381,78.15451,12.4252,            32.26232,          2106.51700,             0.00000,             0.00000,1,        339026.40000,     963312942.00000,            32.26232,          2106.51700,           742.46780,       2109655.00000,          9500.00000,67.07539,10.66381,78.15451,12.4252,            32.26232,          2106.51700,             0.00000,             0.00000,             1.00000,1,        202026.40000,     550027501.00000,            32.26232,          2106.51700,           442.43780,       1204560.00000,            67.73768,1,        130000.00000,     392831440.00000,           284.70000,        860300.80000,             0.00000,0,1,             6.52000,         16470.22000,             6.52000,           395.28530,             0.00000,0,1,             4.18557,         14074.84000,             4.18557,           337.79620,         12000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         34479.60000,            11.80000,           827.51040,1,          7000.00000,      20454000.00000,            15.33000,         44794.26000,1,             9.75676,         22746.87000,             9.75676,           545.92490
2029-01-01 00:00:00,1,        263106.70000,    1087396604.00000,            32.92043,          2389.90900,           576.20370,       2381399.00000,          7500.00000,68.17826,10.83915,76.82716,12.21417,            32.92043,          2389.90900,             0.00000,             0.00000,1,        263106.70000,    1087396604.00000,            32.92043,          2389.90900,           576.20370,       2381399.00000,          7500.00000,68.17826,10.83915,76.82716,12.21417,            32.92043,          2389.90900,             0.00000,             0.00000,             1.00000,1,        206106.70000,     623969164.00000,            32.92043,          2389.90900,           451.37370,       1366492.00000,            67.07957,1,         50000.00000,     440411440.00000,           109.50000,        964501.00000,             0.00000,0,1,             6.64000,         18856.54000,             6.64000,           452.55700,             0.00000,0,1,             4.50746,         15606.76000,             4.50746,           374.56220,         14000.00000,            10.00000,           200.00000,         18811.88000,1,            11.80000,         38798.40000,            11.80000,           931.16160,1,          7000.00000,      23016000.00000,            15.33000,         50405.04000,1,             9.97297,         26317.85000,             9.97297,           631.62830
